Procedure Summary

Plate Type	384 WELL PLATE
Shake	Shake: Medium for 0:03
Start Kinetic	Start Kinetic [Run 0:06:00, Interval 0:00:07]
Read	Read:  (A) 550
End Kinetic	End Kinetic
Read	Read:  (A) Spectrum [500nm to 650nm by 1]

Layout
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A	SPL1	SPL8	SPL15																						Well ID
																									Name
B	SPL2	SPL9	SPL16																						Well ID
																									Name
C	SPL3	SPL10	SPL17																						Well ID
																									Name
D	SPL4	SPL11	SPL18																						Well ID
																									Name
E	SPL5	SPL12	SPL19																						Well ID
																									Name
F	SPL6	SPL13	SPL20																						Well ID
																									Name
G	SPL7	SPL14	SPL21																						Well ID
																									Name
H																									Well ID
																									Name
I																									Well ID
																									Name
J																									Well ID
																									Name
K																									Well ID
																									Name
L																									Well ID
																									Name
M																									Well ID
																									Name
N																									Well ID
																									Name
O																									Well ID
																									Name
P																									Well ID
																									Name

Read 1:550

Kinetic read	A1	A2	A3	B1	B2	B3	C1	C2	C3	D1	D2	D3	E1	E2	E3	F1	F2	F3	G1	G2	G3
541	0,352	0,368	0,324	0,385	0,418	0,360	0,300	0,315	0,279	0,341	0,446	0,583	0,340	0,348	0,284	0,400	0,444	0,448	0,351	0,351	0,301
542	0,353	0,367	0,323	0,383	0,417	0,360	0,301	0,315	0,279	0,341	0,447	0,579	0,342	0,346	0,283	0,398	0,446	0,445	0,353	0,351	0,302
543	0,353	0,367	0,322	0,380	0,417	0,358	0,302	0,316	0,278	0,341	0,448	0,574	0,344	0,345	0,281	0,397	0,446	0,442	0,355	0,351	0,302
544	0,354	0,366	0,322	0,379	0,420	0,358	0,304	0,316	0,279	0,341	0,448	0,568	0,347	0,343	0,281	0,396	0,447	0,438	0,358	0,350	0,304
545	0,359	0,367	0,326	0,390	0,424	0,368	0,309	0,317	0,282	0,352	0,450	0,576	0,352	0,344	0,286	0,408	0,449	0,448	0,363	0,350	0,308
546	0,364	0,368	0,330	0,402	0,427	0,380	0,314	0,317	0,285	0,365	0,452	0,587	0,359	0,345	0,289	0,421	0,451	0,458	0,369	0,351	0,312
547	0,367	0,369	0,331	0,409	0,429	0,386	0,317	0,317	0,287	0,372	0,453	0,591	0,362	0,346	0,291	0,428	0,453	0,463	0,372	0,351	0,314
548	0,370	0,369	0,333	0,416	0,431	0,393	0,320	0,317	0,288	0,381	0,454	0,596	0,367	0,346	0,292	0,436	0,455	0,468	0,376	0,352	0,317
549	0,371	0,369	0,333	0,420	0,434	0,397	0,322	0,318	0,289	0,386	0,455	0,596	0,370	0,345	0,293	0,441	0,456	0,470	0,379	0,351	0,318
550	0,372	0,370	0,334	0,423	0,436	0,400	0,323	0,318	0,290	0,388	0,456	0,599	0,371	0,346	0,294	0,444	0,457	0,472	0,379	0,352	0,319
551	0,371	0,370	0,334	0,423	0,436	0,399	0,322	0,318	0,290	0,387	0,455	0,601	0,368	0,347	0,295	0,444	0,456	0,474	0,377	0,352	0,318
552	0,368	0,370	0,333	0,419	0,433	0,394	0,318	0,318	0,288	0,381	0,455	0,600	0,363	0,347	0,293	0,438	0,455	0,472	0,372	0,352	0,316
553	0,363	0,370	0,330	0,409	0,430	0,385	0,313	0,318	0,286	0,370	0,453	0,595	0,358	0,347	0,290	0,427	0,453	0,464	0,367	0,352	0,311
554	0,357	0,369	0,326	0,395	0,425	0,372	0,308	0,318	0,282	0,356	0,452	0,585	0,350	0,346	0,287	0,412	0,450	0,454	0,360	0,352	0,307
555	0,353	0,368	0,323	0,385	0,422	0,363	0,303	0,318	0,280	0,345	0,450	0,577	0,345	0,345	0,284	0,402	0,448	0,446	0,355	0,351	0,303
